unique_code,density,density_band,expected_gmv_c,median_household_income,median_income_band,menu_type_c,cuisines_regional,cuisines_continental,population,population_band,region,school_zone,state_code,tenure_in_complete_months,zip_code
R85507,1505,"501 - 5,000",,"$57,581","$1 - $60,000",Chinese-Unknown,,,18695,"5,001 - 20,000",West,B-,NV,0,89146
R87007,446,101 - 500,,"$57,589","$1 - $60,000",Chinese-Unknown,,,40445,"20,201 - 50,000",Midwest,B,OH,9,44203
R87505,1059,"501 - 5,000",27000,"$57,744","$1 - $60,000",Chinese-Unknown,,,18429,"5,001 - 20,000",Southwest,C+,TX,2,75235
R85092,5442,"5,001 - 20,000",,"$57,853","$1 - $60,000",Chinese-Unknown,,,68113,"50,001+",Northeast,C-,PA,14,19111
R86936,250,101 - 500,,"$57,969","$1 - $60,000",Chinese-Unknown,,,33523,"20,201 - 50,000",Southeast,B-,SC,,29209
R85633,85,1 - 100,,"$57,972","$1 - $60,000",Japanese,,,29711,"20,201 - 50,000",Midwest,C+,OH,23,43420
R86971,561,"501 - 5,000",,"$61,881","$60,000 - $100,000",Japanese;Other,,,26623,"20,201 - 50,000",Midwest,B,MI,0,48603
R86073,1814,"501 - 5,000",,"$58,059","$1 - $60,000",Chinese-Unknown,,,33971,"20,201 - 50,000",Southeast,B,FL,6,33756
R85116,518,"501 - 5,000",,"$58,170","$1 - $60,000",Chinese-Unknown,,,15239,"5,001 - 20,000",Southeast,B-,TN,27,37416
R87522,45,1 - 100,,"$58,182","$1 - $60,000",Chinese-Unknown,,,4652,"1 - 5,000",Southeast,C,NC,9,27864
R85922,218,101 - 500,,"$58,215","$1 - $60,000",Chinese-Unknown,,,43678,"20,201 - 50,000",Midwest,B-,IN,18,46360
R86893,142,101 - 500,,"$58,242","$1 - $60,000",Wings;Other,,,36701,"20,201 - 50,000",Southeast,C+,FL,15,33844
R85513,68,1 - 100,,"$58,290","$1 - $60,000",Japanese,,,16130,"5,001 - 20,000",Southeast,C+,SC,0,29568
R85773,116,101 - 500,,"$58,333","$1 - $60,000",Wings,,,24029,"20,201 - 50,000",Southeast,C+,AL,0,36582
R87775,614,"501 - 5,000",,"$58,404","$1 - $60,000",Japanese,,,21460,"20,201 - 50,000",Southeast,B-,SC,5,29418
R87803,139,101 - 500,,"$58,544","$1 - $60,000",Chinese-Unknown,,,22989,"20,201 - 50,000",Southeast,B,VA,0,24141
R85527,1043,"501 - 5,000",,"$58,710","$1 - $60,000",Chinese-Unknown,,,32690,"20,201 - 50,000",Southeast,C-,GA,0,30344
R85332,2055,"501 - 5,000",,"$58,745","$1 - $60,000",Chinese-Unknown,,,23835,"20,201 - 50,000",Northeast,C+,NY,2,14620
R86393,242,101 - 500,,"$63,272","$60,000 - $100,000",Chinese-Unknown,,,11903,"5,001 - 20,000",Midwest,C-,MI,14,48001
R86608,639,"501 - 5,000",,"$58,759","$1 - $60,000",Chinese-Unknown,,,43328,"20,201 - 50,000",Midwest,B+,IA,7,52001
R85926,548,"501 - 5,000",,"$58,777","$1 - $60,000",Chinese-Unknown,,,31127,"20,201 - 50,000",Southeast,C+,GA,0,30501
R86626,948,"501 - 5,000",,"$58,782","$1 - $60,000",Chinese-Unknown,,,40290,"20,201 - 50,000",Southeast,B+,GA,1,30060
R89222,4389,"501 - 5,000",7800,"$58,847","$1 - $60,000",Japanese;Other,,,47555,"20,201 - 50,000",Northeast,C-,MD,0,21218
R87239,638,"501 - 5,000",,"$59,010","$1 - $60,000",Chinese-Unknown,,,42199,"20,201 - 50,000",Midwest,B,WI,0,53081
R85179,2043,"501 - 5,000",,"$59,077","$1 - $60,000",Chinese-Unknown;Japanese,,,15197,"5,001 - 20,000",Midwest,A,IL,8,60458
R85938,121,101 - 500,,"$59,084","$1 - $60,000",Chinese-Unknown,,,13119,"5,001 - 20,000",Northeast,C,PA,0,18407
R83915,45322,"20,001+",,"$59,115","$1 - $60,000",Chinese-Unknown;Other,,,44800,"20,201 - 50,000",Northeast,B+,NY,24,10040
R86191,165,101 - 500,,"$59,141","$1 - $60,000",Chinese-Unknown,,,14788,"5,001 - 20,000",Northeast,B+,NY,1,12771
R86559,1586,"501 - 5,000",,"$64,772","$60,000 - $100,000",Chinese-Unknown;Japanese,,,33931,"20,201 - 50,000",Midwest,C,MI,11,48186
R86063,82,1 - 100,,"$59,395","$1 - $60,000",Chinese-Unknown,,,22048,"20,201 - 50,000",Midwest,B,MO,7,63401
R85851,42,1 - 100,,"$59,534","$1 - $60,000",Chinese-Unknown,,,5306,"5,001 - 20,000",Northeast,B-,NY,3,14530
R85908,13,1 - 100,,"$59,551","$1 - $60,000",Chinese-Unknown,,,5216,"5,001 - 20,000",Midwest,C+,IL,20,61231
R86871,784,"501 - 5,000",,"$59,635","$1 - $60,000",Chinese-Unknown,,,30082,"20,201 - 50,000",Southeast,B,NC,7,28217
R85085,733,"501 - 5,000",,"$59,727","$1 - $60,000",Chinese-Unknown,,,32692,"20,201 - 50,000",Midwest,A-,OH,28,44512
R86997,1830,"501 - 5,000",,"$59,822","$1 - $60,000",Chinese-Unknown;Cajun,,,48872,"20,201 - 50,000",Northeast,C-,MD,6,21207
R86997,1830,"501 - 5,000",,"$59,822","$1 - $60,000",Cajun,,,48872,"20,201 - 50,000",Northeast,C-,MD,6,21207
R87359,509,"501 - 5,000",,"$59,861","$1 - $60,000",Japanese,,,17122,"5,001 - 20,000",Southeast,B,FL,7,33948
R86613,1188,"501 - 5,000",,"$59,883","$1 - $60,000",Japanese,,,35488,"20,201 - 50,000",Southeast,B,FL,17,32207
R86993,794,"501 - 5,000",,"$59,910","$1 - $60,000",Chinese-Unknown;Japanese,,,22881,"20,201 - 50,000",Northeast,A-,PA,0,15136
R86665,2147,"501 - 5,000",,"$60,045","$60,000 - $100,000",Japanese,,,60426,"50,001+",Southwest,B,TX,10,78753
R85915,92,1 - 100,,"$60,100","$60,000 - $100,000",Chinese-Unknown,,,12685,"5,001 - 20,000",Southeast,C+,FL,0,32219
R86811,1580,"501 - 5,000",,"$60,104","$60,000 - $100,000",Chinese-Unknown,,,37861,"20,201 - 50,000",Southeast,B,FL,0,32810
R89138,1580,"501 - 5,000",23400,"$60,104","$60,000 - $100,000",Chinese-Unknown,,,37861,"20,201 - 50,000",Southeast,B,FL,0,32810
R87993,16492,"5,001 - 20,000",32500,"$60,152","$60,000 - $100,000",Chinese-Unknown,,,92644,"50,001+",Northeast,B+,NY,0,11214
R86011,369,101 - 500,,"$60,210","$60,000 - $100,000",Japanese,,,45391,"20,201 - 50,000",Southeast,B-,AL,13,35405
R86007,1945,"501 - 5,000",,"$60,483","$60,000 - $100,000",Chinese-Unknown;Thai,,,55212,"50,001+",Northeast,C,MD,8,21222
R86057,1945,"501 - 5,000",,"$60,483","$60,000 - $100,000",Chinese-Unknown,,,55212,"50,001+",Northeast,C,MD,0,21222
R85752,1301,"501 - 5,000",,"$60,781","$60,000 - $100,000",Chinese-Unknown,,,18236,"5,001 - 20,000",Southeast,B,FL,2,33759
R87627,1978,"501 - 5,000",,"$60,855","$60,000 - $100,000",Chinese-Unknown,,,34456,"20,201 - 50,000",West,B-,WA,0,98444
R85731,204,101 - 500,,"$60,866","$60,000 - $100,000",Chinese-Unknown,,,38847,"20,201 - 50,000",Northeast,B-,PA,3,16001
R87871,1270,"501 - 5,000",,"$60,959","$60,000 - $100,000",Chinese-Unknown,,,40996,"20,201 - 50,000",Southeast,B-,VA,0,23669
R86831,5648,"5,001 - 20,000",,"$60,971","$60,000 - $100,000",Chinese-Unknown,,,39427,"20,201 - 50,000",Southeast,B+,FL,0,33139
R86999,1160,"501 - 5,000",,"$61,021","$60,000 - $100,000",Chinese-Unknown,,,42937,"20,201 - 50,000",Southeast,C+,VA,0,23225
R87076,80,1 - 100,,"$61,070","$60,000 - $100,000",Chinese-Unknown,,,16744,"5,001 - 20,000",Southeast,A-,MS,12,38804
R87952,60,1 - 100,18200,"$61,286","$60,000 - $100,000",Chinese-Unknown,,,34805,"20,201 - 50,000",Southeast,B,NC,1,27205
R87525,153,101 - 500,7800,"$61,352","$60,000 - $100,000",Chinese-Unknown,,,51504,"50,001+",West,B-,WA,0,98632
R82901,297,101 - 500,,"$61,404","$60,000 - $100,000",Japanese,,,19952,"5,001 - 20,000",Southeast,A-,NC,28,28805
R86211,67,1 - 100,,"$61,499","$60,000 - $100,000",Chinese-Unknown,,,39551,"20,201 - 50,000",Southeast,C,NC,0,27909
R85566,328,101 - 500,,"$61,517","$60,000 - $100,000",Chinese-Unknown,,,22935,"20,201 - 50,000",Southeast,B+,FL,24,34654
R87116,1173,"501 - 5,000",,"$61,536","$60,000 - $100,000",,,,38231,"20,201 - 50,000",Southeast,B-,FL,1,32216
R89218,1079,"501 - 5,000",6000,"$61,630","$60,000 - $100,000",Chinese-Unknown;Japanese,,,33091,"20,201 - 50,000",Northeast,B+,NY,0,14225
R87111,1931,"501 - 5,000",,"$61,641","$60,000 - $100,000",Chinese-Unknown,,,1215,"1 - 5,000",Northeast,C-,NY,3,14614
R86996,214,101 - 500,,"$61,644","$60,000 - $100,000",Wings,,,40713,"20,201 - 50,000",Southeast,C,FL,9,34759
R85636,61,1 - 100,,"$71,463","$60,000 - $100,000",Chinese-Unknown,,,13185,"5,001 - 20,000",Midwest,B-,MI,0,49079
R87275,122,101 - 500,26000,"$61,849","$60,000 - $100,000",Chinese-Unknown,,,24745,"20,201 - 50,000",Northeast,C+,DE,11,19973
R87796,5261,"5,001 - 20,000",,"$62,047","$60,000 - $100,000",Chinese-Unknown,,,62905,"50,001+",West,B-,CA,0,91732
R85136,38,1 - 100,,"$62,051","$60,000 - $100,000",Chinese-Unknown;Thai,,,10499,"5,001 - 20,000",Southeast,B,GA,17,31329
R85362,1234,"501 - 5,000",,"$62,177","$60,000 - $100,000",Chinese-Unknown;Japanese,,,31086,"20,201 - 50,000",Southeast,B+,FL,12,33904
R86361,151,101 - 500,,"$62,523","$60,000 - $100,000",Chinese-Unknown,,,17661,"5,001 - 20,000",Southeast,B,SC,0,29307
R86593,640,"501 - 5,000",,"$62,537","$60,000 - $100,000",Japanese,,,46044,"20,201 - 50,000",Southeast,B,VA,0,24502
R86397,65,1 - 100,,"$62,665","$60,000 - $100,000",Chinese-Unknown,,,9979,"5,001 - 20,000",Northeast,B,NY,6,12414
R87622,20615,"20,001+",22500,"$62,804","$60,000 - $100,000",Chinese-Unknown,,,93170,"50,001+",Northeast,B+,NY,0,11220
R86138,869,"501 - 5,000",,"$62,865","$60,000 - $100,000",Chinese-Unknown,,,20824,"20,201 - 50,000",Southeast,B,LA,1,71105
R87838,1719,"501 - 5,000",,"$62,879","$60,000 - $100,000",Chinese-Unknown,,,19569,"5,001 - 20,000",Northeast,A-,PA,0,15202
R87581,416,101 - 500,15600,"$62,947","$60,000 - $100,000",Chinese-Unknown,,,15298,"5,001 - 20,000",Southeast,A,NC,8,28557
R87115,1330,"501 - 5,000",,"$62,997","$60,000 - $100,000",Chinese-Unknown,,,42544,"20,201 - 50,000",Midwest,C-,MO,1,63033
R89019,25,1 - 100,12000,"$63,083","$60,000 - $100,000",Chinese-Unknown;Japanese;Cajun;Other,,,40944,"20,201 - 50,000",Southwest,C+,NM,0,88240
R87629,77,1 - 100,15600,"$63,119","$60,000 - $100,000",Chinese-Unknown,,,23302,"20,201 - 50,000",West,A,OR,3,97333
R85163,28875,"20,001+",,"$63,125","$60,000 - $100,000",Chinese-Unknown,,,64988,"50,001+",Northeast,B+,NY,0,10027
R87956,2622,"501 - 5,000",36000,"$63,179","$60,000 - $100,000",Chinese-Unknown,,,58771,"50,001+",Midwest,C+,MN,0,55106
R87011,153,101 - 500,,"$63,292","$60,000 - $100,000",Japanese,,,39476,"20,201 - 50,000",Southeast,A-,AL,13,36830
R85516,101,101 - 500,,"$63,341","$60,000 - $100,000",Chinese-Unknown;Japanese,,,13427,"5,001 - 20,000",Midwest,B+,OH,0,44904
R85117,102,101 - 500,,"$63,428","$60,000 - $100,000",Chinese-Unknown;Japanese,,,33432,"20,201 - 50,000",Southwest,B,OK,3,74066
R85256,19830,"5,001 - 20,000",,"$63,431","$60,000 - $100,000",Chinese-Unknown,,,75714,"50,001+",Northeast,B+,NY,5,10462
R87159,1537,"501 - 5,000",,"$63,481","$60,000 - $100,000",Chinese-Unknown,,,12794,"5,001 - 20,000",Southeast,B,FL,12,33403
R85972,708,"501 - 5,000",,"$63,657","$60,000 - $100,000",Chinese-Unknown,,,28614,"20,201 - 50,000",Southeast,B+,FL,3,34287
R87718,2037,"501 - 5,000",12000,"$63,738","$60,000 - $100,000",Chinese-Unknown,,,42364,"20,201 - 50,000",West,B,WA,,98204
R86176,329,101 - 500,,"$63,815","$60,000 - $100,000",Chinese-Unknown,,,37467,"20,201 - 50,000",Northeast,B,DE,9,19904
R87752,2019,"501 - 5,000",,"$63,832","$60,000 - $100,000",,,,42256,"20,201 - 50,000",Southwest,B+,NM,6,87112
R85032,263,101 - 500,,"$63,844","$60,000 - $100,000",Chinese-Unknown;Japanese,,,42331,"20,201 - 50,000",Southeast,B-,NC,8,27215
R87935,174,101 - 500,,"$78,388","$60,000 - $100,000",Chinese-Unknown;Wings,,,25000,"20,201 - 50,000",Midwest,B+,MI,0,48433
R86617,396,101 - 500,,"$64,079","$60,000 - $100,000",Chinese-Unknown,,,32622,"20,201 - 50,000",Southeast,B+,SC,0,29841
R89125,670,"501 - 5,000",,"$79,260","$60,000 - $100,000",Chinese-Unknown,,,24995,"20,201 - 50,000",Midwest,C+,MI,2,48045
R89125,670,"501 - 5,000",,"$79,260","$60,000 - $100,000",Chinese-Unknown,,,24995,"20,201 - 50,000",Midwest,C+,MI,2,48045
R87919,328,101 - 500,,"$79,616","$60,000 - $100,000",Chinese-Unknown,,,48799,"20,201 - 50,000",Midwest,A,MI,3,49424
R85561,147,101 - 500,,"$64,691","$60,000 - $100,000",Chinese-Unknown,,,61565,"50,001+",Midwest,C+,OH,0,43130
R85556,2457,"501 - 5,000",,"$64,714","$60,000 - $100,000",Chinese-Unknown,,,36725,"20,201 - 50,000",Southeast,B+,FL,7,33183
R85196,18,1 - 100,,"$64,912","$60,000 - $100,000",Chinese-Unknown,,,6273,"5,001 - 20,000",Midwest,B+,MN,0,56573
R86531,1039,"501 - 5,000",,"$64,960","$60,000 - $100,000",Chinese-Unknown,,,42917,"20,201 - 50,000",Southeast,B-,LA,3,70816
R86552,472,101 - 500,,"$64,971","$60,000 - $100,000",Chinese-Unknown,,,21347,"20,201 - 50,000",Midwest,B,OH,0,44484
R87921,872,"501 - 5,000",18200,"$65,099","$60,000 - $100,000",Chinese-Unknown,Chinese,Asian,10422,"5,001 - 20,000",Midwest,B+,IL,3,60020
R87921,872,"501 - 5,000",,"$65,099","$60,000 - $100,000",,Chinese,Asian,10422,"5,001 - 20,000",Midwest,B+,IL,3,60020
R87023,1472,"501 - 5,000",,"$65,163","$60,000 - $100,000",Chinese-Unknown,,,36580,"20,201 - 50,000",Midwest,B-,OH,13,44134
R85031,30,1 - 100,,"$65,283","$60,000 - $100,000",Chinese-Unknown,,,17909,"5,001 - 20,000",West,B-,OR,0,97424
R85769,737,"501 - 5,000",,"$84,172","$60,000 - $100,000",Chinese-Unknown;Japanese,,,23880,"20,201 - 50,000",Midwest,A-,MI,3,48390
R87767,79,1 - 100,19500,"$65,483","$60,000 - $100,000",Chinese-Unknown,,,22070,"20,201 - 50,000",Northeast,C+,NY,3,13820
R89076,44,1 - 100,32500,"$65,707","$60,000 - $100,000",Chinese-Unknown,,,18876,"5,001 - 20,000",Midwest,B,OH,1,45822
R86781,2215,"501 - 5,000",,"$66,515","$60,000 - $100,000",Chinese-Unknown,,,49941,"20,201 - 50,000",Southeast,B,FL,0,33021
R86326,2215,"501 - 5,000",,"$66,515","$60,000 - $100,000",Chinese-Unknown,,,49941,"20,201 - 50,000",Southeast,B,FL,0,33021
R87172,1230,"501 - 5,000",,"$66,531","$60,000 - $100,000",Chinese-Unknown,,,27585,"20,201 - 50,000",Southeast,B-,FL,,33406
R85888,1482,"501 - 5,000",,"$66,592","$60,000 - $100,000",Chinese-Unknown,,,18271,"5,001 - 20,000",Midwest,B-,WI,6,53110
R83952,1482,"501 - 5,000",,"$66,592","$60,000 - $100,000",Chinese-Unknown,,,18271,"5,001 - 20,000",Midwest,B-,WI,8,53110
R86813,2494,"501 - 5,000",,"$66,611","$60,000 - $100,000",Chinese-Unknown;Thai,,,35769,"20,201 - 50,000",Southeast,B,FL,2,33351
R86278,64,1 - 100,,"$66,742","$60,000 - $100,000",Japanese,,,30032,"20,201 - 50,000",Midwest,C+,MN,5,55021
R86679,1606,"501 - 5,000",,"$66,774","$60,000 - $100,000",Chinese-Unknown,,,35855,"20,201 - 50,000",Southeast,A-,FL,0,32812
R85995,18939,"5,001 - 20,000",,"$66,780","$60,000 - $100,000",Chinese-Unknown,,,71132,"50,001+",Northeast,B+,NY,19,10463
R85988,18939,"5,001 - 20,000",,"$66,780","$60,000 - $100,000",Chinese-Unknown,,,71132,"50,001+",Northeast,B+,NY,1,10463
R89069,18,1 - 100,,"$66,875","$60,000 - $100,000",Chinese-Unknown,,,12319,"5,001 - 20,000",Midwest,C,NE,0,68850
R89069,18,1 - 100,,"$66,875","$60,000 - $100,000",Chinese-Unknown,,,12319,"5,001 - 20,000",Midwest,C,NE,0,68850
R87288,35,1 - 100,,"$66,883","$60,000 - $100,000",Japanese,,,44136,"20,201 - 50,000",West,C,WA,0,98837
R87858,1,1 - 100,,"$66,950","$60,000 - $100,000",Chinese-Unknown,,,4484,"1 - 5,000",West,B-,MT,0,59230
R86512,2432,"501 - 5,000",,"$67,050","$60,000 - $100,000",Japanese,,,35346,"20,201 - 50,000",Northeast,C,PA,0,19115
R86101,841,"501 - 5,000",,"$67,131","$60,000 - $100,000",Chinese-Unknown,,,49923,"20,201 - 50,000",Southeast,B-,FL,20,32725
R87217,1130,"501 - 5,000",,"$67,203","$60,000 - $100,000",Chinese-Unknown,,,59152,"50,001+",West,B,CA,0,92507
R89163,2305,"501 - 5,000",,"$67,252","$60,000 - $100,000",Chinese-Unknown,Chinese,Asian,66138,"50,001+",Northeast,C,NY,,10977
R87153,1553,"501 - 5,000",,"$67,260","$60,000 - $100,000",Chinese-Unknown,,,43058,"20,201 - 50,000",Southeast,C+,VA,5,23608
R86886,941,"501 - 5,000",,"$67,270","$60,000 - $100,000",Chinese-Unknown;Japanese,,,97939,"50,001+",Southeast,C,TN,10,37013
R83953,1258,"501 - 5,000",,"$67,295","$60,000 - $100,000",Japanese,,,14677,"5,001 - 20,000",Southeast,B,VA,0,24015
R86738,1093,"501 - 5,000",,"$67,348","$60,000 - $100,000",Chinese-Unknown;Japanese;Cajun,,,28473,"20,201 - 50,000",Midwest,C+,KS,5,67207
R86919,23955,"20,001+",,"$67,489","$60,000 - $100,000",Chinese-Unknown,,,94437,"50,001+",Northeast,B+,NY,0,11373
R85902,1519,"501 - 5,000",,"$67,500","$60,000 - $100,000",Cajun,,,31703,"20,201 - 50,000",Southeast,B+,FL,15,33445
R87561,1644,"501 - 5,000",6500,"$67,547","$60,000 - $100,000",Chinese-Unknown;Thai,,,49533,"20,201 - 50,000",West,B-,WA,1,98003
R87203,5635,"5,001 - 20,000",,"$67,620","$60,000 - $100,000",Chinese-Unknown,,,70536,"50,001+",West,C,CA,0,90262
R86062,38,1 - 100,,"$67,730","$60,000 - $100,000",Chinese-Unknown,,,14440,"5,001 - 20,000",Northeast,C,PA,3,15370
R83893,44,1 - 100,,"$67,890","$60,000 - $100,000",Chinese-Unknown,,,12363,"5,001 - 20,000",Northeast,B,PA,2,16137
R87923,1480,"501 - 5,000",,"$67,916","$60,000 - $100,000",Chinese-Unknown;Japanese;Thai,,,33241,"20,201 - 50,000",Southeast,B-,FL,0,33462
R85367,1094,"501 - 5,000",,"$67,943","$60,000 - $100,000",Chinese-Unknown;Japanese,,,54804,"50,001+",Midwest,B-,OH,0,43068
R86165,1100,"501 - 5,000",,"$68,140","$60,000 - $100,000",Chinese-Unknown,,,42078,"20,201 - 50,000",Northeast,B-,MD,1,21221
R87337,9,1 - 100,,"$68,152","$60,000 - $100,000",Chinese-Unknown,,,18336,"5,001 - 20,000",West,C+,CA,0,93210
R86908,1107,"501 - 5,000",,"$68,224","$60,000 - $100,000",Chinese-Unknown,,,39776,"20,201 - 50,000",West,C,OR,4,97230
R85105,17,1 - 100,,"$68,299","$60,000 - $100,000",Chinese-Unknown,,,11515,"5,001 - 20,000",Midwest,B-,IN,15,47978
R86327,23,1 - 100,,"$68,331","$60,000 - $100,000",Chinese-Unknown,,,26713,"20,201 - 50,000",Southeast,B+,LA,0,70634
R87719,983,"501 - 5,000",,"$106,250","$100,001 - $150,000",Other,,,15737,"5,001 - 20,000",Midwest,A+,MI,0,48084
R85703,16,1 - 100,,"$68,412","$60,000 - $100,000",Japanese,,,33550,"20,201 - 50,000",Midwest,C+,KS,2,67846
R85653,10,1 - 100,,"$68,440","$60,000 - $100,000",Chinese-Unknown,,,7431,"5,001 - 20,000",Southwest,B,TX,0,76634
R86578,1651,"501 - 5,000",,"$109,664","$100,001 - $150,000",Chinese-Unknown,,,57745,"50,001+",Midwest,A-,MI,4,48044
R87078,22,1 - 100,,"$68,689","$60,000 - $100,000",Chinese-Unknown,,,7947,"5,001 - 20,000",Southeast,B,GA,10,31321
R87607,1350,"501 - 5,000",,"$68,713","$60,000 - $100,000",Chinese-Unknown,Chinese,Asian,41807,"20,201 - 50,000",West,B,CA,0,92054
R87987,2918,"501 - 5,000",32500,"$68,756","$60,000 - $100,000",Chinese-Unknown,,,26983,"20,201 - 50,000",Midwest,C-,MO,0,63109
R86372,154,101 - 500,,"$68,835","$60,000 - $100,000",Chinese-Unknown,,,26453,"20,201 - 50,000",Southeast,C+,GA,8,30224
R86232,38,1 - 100,,"$68,840","$60,000 - $100,000",Chinese-Unknown,,,19468,"5,001 - 20,000",Southeast,B-,KY,18,42025
R85928,103,101 - 500,,"$68,963","$60,000 - $100,000",Chinese-Unknown,,,36149,"20,201 - 50,000",Midwest,B,KS,3,66048
R86601,19,1 - 100,,"$69,153","$60,000 - $100,000",Chinese-Unknown,,,9418,"5,001 - 20,000",Southeast,A-,FL,7,32046
R83929,228,101 - 500,,"$69,454","$60,000 - $100,000",Chinese-Unknown,,,47275,"20,201 - 50,000",Southeast,B+,SC,12,29073
R87852,42,1 - 100,10400,"$69,489","$60,000 - $100,000",Chinese-Unknown,,,37278,"20,201 - 50,000",West,C-,WA,4,98584
R85308,110,101 - 500,,"$69,573","$60,000 - $100,000",Chinese-Unknown,,,13226,"5,001 - 20,000",Midwest,B,OH,20,44667
R85689,1839,"501 - 5,000",,"$69,661","$60,000 - $100,000",Chinese-Unknown,,,31056,"20,201 - 50,000",West,B-,CO,0,80917
R87685,866,"501 - 5,000",,"$69,678","$60,000 - $100,000",Wings,,,29990,"20,201 - 50,000",Southwest,B+,TX,3,75038
R87681,866,"501 - 5,000",,"$69,678","$60,000 - $100,000",Chinese-Unknown,,,29990,"20,201 - 50,000",Southwest,B+,TX,7,75038
R89216,843,"501 - 5,000",59800,"$69,685","$60,000 - $100,000",Chinese-Unknown,,,27678,"20,201 - 50,000",Northeast,B,PA,0,18052
R86069,105,101 - 500,,"$69,751","$60,000 - $100,000",Chinese-Unknown,,,28096,"20,201 - 50,000",West,B+,CA,5,95370
R86726,2631,"501 - 5,000",,"$69,782","$60,000 - $100,000",Chinese-Unknown,,,59588,"50,001+",Southwest,A-,TX,0,77077
R89062,203,101 - 500,,"$69,940","$60,000 - $100,000",Chinese-Unknown,,,14035,"5,001 - 20,000",Midwest,B,KS,1,67060
R86581,297,101 - 500,,"$70,044","$60,000 - $100,000",Chinese-Unknown,,,27990,"20,201 - 50,000",Southeast,B+,FL,0,32757
R87335,535,"501 - 5,000",,"$70,279","$60,000 - $100,000",Other,,,21872,"20,201 - 50,000",Midwest,C+,OH,3,45245
R87916,791,"501 - 5,000",,"$70,333","$60,000 - $100,000",Chinese-Unknown;Japanese,,,20412,"20,201 - 50,000",Southwest,B,OK,6,73130
R85978,1122,"501 - 5,000",,"$70,580","$60,000 - $100,000",Chinese-Unknown,,,12438,"5,001 - 20,000",Southeast,A-,SC,21,29601
R86678,1429,"501 - 5,000",,"$70,696","$60,000 - $100,000",Chinese-Unknown,,,58833,"50,001+",Southeast,A-,FL,0,33511
R83877,1094,"501 - 5,000",,"$33,720","$1 - $60,000",Chinese-Unknown,,,18046,"5,001 - 20,000",Midwest,C,IN,14,46016
R89188,426,101 - 500,,"$70,933","$60,000 - $100,000",Japanese,,,30723,"20,201 - 50,000",Southwest,C+,TX,0,76140
R86058,996,"501 - 5,000",,"$70,975","$60,000 - $100,000",Chinese-Unknown,,,42520,"20,201 - 50,000",Southeast,A,FL,0,32073
R86806,361,101 - 500,,"$70,987","$60,000 - $100,000",Japanese,Japanese,Asian,26555,"20,201 - 50,000",Southeast,C,GA,,30013
R87097,1163,"501 - 5,000",,"$71,048","$60,000 - $100,000",,,,41531,"20,201 - 50,000",Midwest,A,IA,,52402
R86355,1279,"501 - 5,000",,"$71,131","$60,000 - $100,000",Japanese,,,29309,"20,201 - 50,000",Southeast,A,KY,14,40503
R87258,271,101 - 500,,"$71,188","$60,000 - $100,000",Chinese-Unknown,,,10535,"5,001 - 20,000",Midwest,B+,MO,6,63044
R87151,570,"501 - 5,000",,"$71,188","$60,000 - $100,000",Chinese-Unknown,,,38661,"20,201 - 50,000",Midwest,B-,IN,9,46368
R82711,2045,"501 - 5,000",,"$71,259","$60,000 - $100,000",Chinese-Unknown;Wings;Sandwich,,,40484,"20,201 - 50,000",Northeast,C-,MD,5,20747
R85889,135,101 - 500,,"$71,278","$60,000 - $100,000",Chinese-Unknown;Japanese,,,11660,"5,001 - 20,000",Northeast,B,PA,0,18014
R85853,733,"501 - 5,000",,"$71,303","$60,000 - $100,000",Chinese-Unknown,,,42227,"20,201 - 50,000",Southeast,B,FL,12,34609
R89262,733,"501 - 5,000",,"$71,303","$60,000 - $100,000",Chinese-Unknown,,,42227,"20,201 - 50,000",Southeast,B,FL,1,34609
R83839,38,1 - 100,,"$71,311","$60,000 - $100,000",Chinese-Unknown,,,15643,"5,001 - 20,000",Midwest,B-,MO,13,63383
R87695,1539,"501 - 5,000",8400,"$71,313","$60,000 - $100,000",Japanese,,,29792,"20,201 - 50,000",West,B+,WA,5,98201
R87696,1539,"501 - 5,000",12000,"$71,313","$60,000 - $100,000",Chinese-Unknown,,,29792,"20,201 - 50,000",West,B+,WA,6,98201
R86655,1178,"501 - 5,000",,"$71,484","$60,000 - $100,000",Chinese-Unknown;Japanese,,,17715,"5,001 - 20,000",Midwest,A-,NE,3,68114
R89116,243,101 - 500,23400,"$71,500","$60,000 - $100,000",Chinese-Unknown,,,6247,"5,001 - 20,000",Northeast,C,MD,1,21226
R86912,230,101 - 500,,"$71,529","$60,000 - $100,000",Japanese;Wings;Other,,,30634,"20,201 - 50,000",Southeast,C,FL,7,33837
R85885,4779,"501 - 5,000",,"$71,533","$60,000 - $100,000",Chinese-Unknown;Japanese,,,52259,"50,001+",Northeast,C-,PA,10,19148
R85005,97,1 - 100,,"$71,534","$60,000 - $100,000",Chinese-Unknown;Japanese;Thai,,,35236,"20,201 - 50,000",Southeast,B,NC,28,28451
R87276,469,101 - 500,,"$71,582","$60,000 - $100,000",Chinese-Unknown,,,30528,"20,201 - 50,000",Southeast,C,TN,2,37214
R85572,794,"501 - 5,000",,"$71,609","$60,000 - $100,000",Chinese-Unknown;Other,,,46090,"20,201 - 50,000",Midwest,B+,WI,22,53704
R85571,794,"501 - 5,000",,"$71,609","$60,000 - $100,000",Japanese,,,46090,"20,201 - 50,000",Midwest,B+,WI,1,53704
