Page location,Date,Sessions,language_test,drop_group,snowball_id,list_source,country,format
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=9604,2023-12-04,1,Chinese Version,Drop 1 - US,09604,Brizo,United States,3D card
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=81337,2023-12-19,1,NA,Drop 2 - US,81337,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=82999,2023-12-18,1,NA,Drop 2 - US,82999,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=84913,2023-12-21,1,NA,Drop 2 - US,84913,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=84913,2023-12-22,1,NA,Drop 2 - US,84913,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=86415,2023-12-21,1,NA,Drop 2 - US,86415,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=86701,2023-12-22,1,NA,Drop 2 - US,86701,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=87541,2023-12-22,1,NA,Drop 2 - US,87541,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=87541,2023-12-23,1,NA,Drop 2 - US,87541,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=88285,2023-12-21,1,NA,Drop 2 - US,88285,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=88917,2023-12-20,1,NA,Drop 2 - US,88917,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=89203,2023-12-20,1,NA,Drop 2 - US,89203,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=89203,2023-12-28,1,NA,Drop 2 - US,89203,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=89933,2023-12-16,1,NA,Drop 2 - US,89933,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=91771,2023-12-23,1,NA,Drop 2 - US,91771,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=91779,2023-12-20,1,NA,Drop 2 - US,91779,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=92749,2023-12-22,1,NA,Drop 2 - US,92749,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=93577,2023-12-27,1,NA,Drop 2 - US,93577,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=93705,2023-12-23,2,NA,Drop 2 - US,93705,OldList,United States,NA
https://getskt.com/2023christmas10/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=christmasdrop2&utm_id=94901,2023-12-19,1,NA,Drop 2 - US,94901,OldList,United States,NA
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=42487,2023-12-14,1,Chinese Version,Drop 1 - Canada,42487,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=42590,2023-12-30,1,Chinese Version,Drop 1 - Canada,42590,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=42897,2023-12-11,1,Chinese Version,Drop 1 - Canada,42897,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=42897,2023-12-12,1,Chinese Version,Drop 1 - Canada,42897,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=42940,2023-12-14,1,Chinese Version,Drop 1 - Canada,42940,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=43501,2023-12-08,1,Chinese Version,Drop 1 - Canada,43501,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=43535,2023-12-19,1,Chinese Version,Drop 1 - Canada,43535,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=44652,2023-12-08,2,Chinese Version,Drop 1 - Canada,44652,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=44767,2023-12-08,1,Chinese Version,Drop 1 - Canada,44767,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=44776,2023-12-14,1,Chinese Version,Drop 1 - Canada,44776,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=44776,2023-12-26,3,Chinese Version,Drop 1 - Canada,44776,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=45541,2023-12-12,1,Chinese Version,Drop 1 - Canada,45541,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=45646,2023-12-19,1,Chinese Version,Drop 1 - Canada,45646,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=46000,2023-12-11,1,Chinese Version,Drop 1 - Canada,46000,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=46036,2023-12-07,1,Chinese Version,Drop 1 - Canada,46036,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=46036,2023-12-08,1,Chinese Version,Drop 1 - Canada,46036,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=46396,2023-12-19,1,Chinese Version,Drop 1 - Canada,46396,Brizo,Canada,3D card
https://getskt.com/2023christmas2/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=christmas&utm_id=46471,2023-12-12,1,Chinese Version,Drop 1 - Canada,46471,Brizo,Canada,3D card
