fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,Campaign_Name,New_Category
Didn't Fill,MA,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Filled,ME,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CT,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,NJ,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,NJ,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,NJ,Unknown,NA,NA,USA,Apple,Chinese
Filled,NY,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,PA,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,PA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,PA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,PA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,PA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,PA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,DE,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Didn't Fill,MD,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,MD,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,MD,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,VA,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,NC,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Didn't Fill,NC,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,GA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,GA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,GA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,FL,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,FL,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Didn't Fill,FL,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,FL,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,FL,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,OH,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,OH,Unknown,NA,NA,USA,Apple,Japanese
Filled,OH,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,OH,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Didn't Fill,MI,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Didn't Fill,MT,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,MT,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,MT,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,KS,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,LA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,AR,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,AR,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,OK,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,TX,Unknown,NA,NA,USA,Apple,Japanese
Filled,TX,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,TX,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,CO,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,UT,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,UT,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,NM,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Asian_Fusion
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Filled,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,OR,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,OR,Unknown,NA,NA,USA,Apple,Cajun_Seafood
Didn't Fill,OR,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,OR,Unknown,NA,NA,USA,Apple,Japanese
Didn't Fill,Unknown,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,NY,Unkown,NA,NA,USA,Apple,Unknown
Didn't Fill,NJ,Unknown,NA,NA,USA,New_Restaurants,Unknown
Didn't Fill,DC,Unknown,NA,NA,USA,New_Restaurants,Unknown
Didn't Fill,NY,Unknown,NA,NA,USA,New_Restaurants,Unknown
