Snowball Map,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),MobilePrimary,BusinessPhone
69038,Mikado Sushi and Steakhouse,793 Route 70 E,Marlton,8053,NJ,,8567978581
69039,Akira,45 E Main St,Moorestown,8057,NJ,,8568023888
69040,Tokyo Bleu,602 Rt 130 N,Cinnaminson,8077,NJ,,8568298889
69041,Sagami,37 W Crescent Blvd,Collingswood,8108,NJ,,8568549773
69042,Osaka,720 Haddon Ave,Collingswood,8108,NJ,,8568581888
69043,Shogun Japanese Cuisine,"3101 Route 42, Ste 4",Sicklerville,8081,NJ,,8568758883
69044,Samurai Japanese Hibachi Steakhouse,646 N Delsea Dr,Glassboro,8028,NJ,,8568817788
69045,Dasiwa Lunch Express,"41 Clementon Rd, Ste 308",Berlin,8009,NJ,,8569740068
69046,Tenkatori Miramar,"6780 Miramar Rd, Ste 104",San Diego,92121,CA,,8582002016
69047,Hidden Fish,"4764 Convoy St, Ste A",San Diego,92111,CA,,8582105056
69048,moment sushi,"9254 Scranton Rd, Ste 101",San Diego,92121,CA,,8582306268
69049,URBN Sushi,"8895 Towne Centre Dr, Ste 100",San Diego,92122,CA,,8582306565
69050,Wu Casa,4242 Campus Point Ct,San Diego,92121,CA,,8582307001
69051,Now sushi,3852 Mission Blvd,San Diego,92109,CA,,8582466179
69052,Himitsu,1030-G Torrey Pines Rd,La Jolla,92037,CA,,8582634463
69053,Niban Japanese Restaurant,"7081 Clairemont Mesa Blvd, Ste 101",San Diego,92111,CA,,8582680465
69054,Nijiya Market - San Diego,"3860 Convoy St, Ste 121",San Diego,92111,CA,,8582683821
69055,JRDN Restaurant,723 Felspar St,San Diego,92109,CA,,8582702323
69056,Bowl To Go,6780 Miramar Rd,San Diego,92121,CA,,8582711769
69057,PB Sushi,1203 Garnet Ave San Diego,San Diego,92109,CA,,8582749755
69058,Robataya Oton,"5447 Kearny Villa Rd, Ste D",San Diego,92123,CA,,8582773989
69059,Mikami Bar & Revolving Sushi,7319 Clairemont Mesa Blvd,San Diego,92111,CA,,8582782166
69060,Okan Diner,"5430 Clairemont Mesa Blvd, Ste G",San Diego,92117,CA,,8582784228
69061,Edamami,"5950 Santo Rd, Ste G",San Diego,92124,CA,,8582788929
69062,Wa Dining OKAN,"3860 Convoy St, Ste 110",San Diego,92111,CA,,8582790941
69063,Chiba II,"10645 Tierrasanta Blvd, Ste H",San Diego,92124,CA,,8582791845
69064,Sipz - Clairemont,5501 Clairemont Mesa Blvd,San Diego,92117,CA,,8582793747
69065,Khan's Cave Asian Tavern & Grill,"9350 Clairemont Mesa Blvd, Ste F",San Diego,92123,CA,,8582799799
69066,J Crepes & Cafe,4240 Kearny Mesa Rd,San Diego,92111,CA,,8582925200
69067,Musashiya Japanese Restaurant,"4240 Kearny Mesa Rd, Mitsuwa Marketplace",San Diego,92111,CA,,8582929200
69068,Nishiki Ramen - Mira Mesa,"9460 Mira Mesa Blvd, Ste E",San Diego,92126,CA,,8583016111
69069,Tora Tora Sushi,"8155 Mira Mesa Blvd, Ste 3, Traget",San Diego,92126,CA,,8583223356
69070,Ayu Sushi & Noodles,5965 Village Way,San Diego,92130,CA,,8583569519
69071,Leilani's Cafe,5109 Cass St,San Diego,92109,CA,,8583611280
69072,Ai Sushi & Teriyaki,12205 Scripps Pkwy,Poway,92064,CA,,8583809960
69073,Soup Du Jour,8583 Aero Dr,San Diego,92123,CA,,8583846328
69074,Izumi Japanese Restaurant,12245 Rd,Poway,92064,CA,,8583913080
69075,Sushi Kuchi,"4637 Convoy St, Ste 104",San Diego,92111,CA,,8584306003
69076,Sushi Kami,11611 Rancho Bernardo Rd,San Diego,92127,CA,,8584517799
69077,Boto Sushi,"11835 Carmel Mountain Rd, Ste 1305",San Diego,92128,CA,,8584517800
69078,Nozomi La Jolla,"4150 Regents Park Row, Ste 190",La Jolla,92037,CA,,8584527778
69079,Lemongrass Plates,9700 Gilman Dr,San Diego,92093,CA,,8584556465
69080,Ramen Ryoma,825 Garnet Ave,San Diego,92109,CA,,8584830177
69081,Tong Sake House,12320 Rd,Poway,92064,CA,,8584863200
