Page location,Date,Sessions,Total users
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=18457,20240319,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=18457,20240320,2,2
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=2602,20240410,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=3420,20240410,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=3667,20240320,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=4108,20240319,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=4925,20240425,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=5908,20240419,2,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=6960,20240416,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=6960,20240417,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=6960,20240425,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=7003,20240411,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=7432,20240408,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=7703,20240410,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=8512,20240404,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=54908,20240412,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=54974,20240402,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=55372,20240319,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=55490,20240405,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=55490,20240406,2,2
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=55593,20240320,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=56562,20240410,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=56859,20240320,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=57081,20240320,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=57910,20240408,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=58254,20240410,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=58264,20240406,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=58895,20240319,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=58895,20240320,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=59401,20240320,2,2
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=60105,20240410,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=60267,20240412,1,1
https://getskt.com/2024apr-trail-v4/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=trail&utm_id=60369,20240402,1,1
