orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2018,06-21,8226
2018,07-17,7764
2018,09-08,10523
2018,10-11,10463
2018,01-15,5428
2018,11-03,13362
2018,05-21,5599
2018,08-12,7419
2018,07-27,11247
2018,01-27,7830
2018,05-05,8352
2018,03-31,9057
2018,11-01,12932
2018,10-25,10540
2018,07-12,8218
2018,02-01,8439
2018,01-11,6952
2018,01-16,5741
2018,10-04,10372
2018,05-18,10061
2018,06-23,8900
2018,05-30,7234
2018,06-01,11721
2018,05-13,7020
2018,01-22,5069
2018,06-30,9304
2018,01-23,5746
2018,08-31,13429
2018,03-14,7854
2018,12-30,11213
2018,05-04,10633
2018,07-22,7234
2018,04-28,9193
2018,11-04,9856
2018,05-10,8206
2018,05-07,5818
2018,03-26,6560
2018,09-14,12023
2018,12-12,10788
2018,04-11,7676
2018,02-20,6221
2018,05-17,7752
2018,10-22,7459
2018,10-23,8492
2018,08-18,9425
2018,04-20,10714
2018,12-14,15745
2018,12-01,15074
2018,06-14,7892
2018,02-06,6640
2018,04-14,8728
2018,04-27,10860
2018,10-09,7836
2018,09-09,8471
2018,05-11,9641
2018,01-31,7044
2018,08-09,8524
2018,12-26,9951
2018,02-13,6294
2018,06-15,10368
2018,09-13,9213
2018,07-14,8234
2018,10-28,9198
2018,05-14,5906
2018,04-17,7055
2018,02-09,10262
2018,03-25,6984
2018,06-08,10278
2018,02-26,6657
2018,05-24,7465
2018,06-10,7262
2018,08-23,8813
2018,08-06,7003
2018,04-10,7063
2018,03-18,6966
2018,09-23,8285
2018,10-10,8744
2018,02-15,7487
2018,10-06,10944
2018,08-02,9564
2018,06-04,6340
2018,05-19,9152
2018,05-02,7633
2018,02-23,11309
2018,12-18,10272
2018,12-19,11150
2018,03-01,9590
2018,01-24,6526
2018,01-30,6409
2018,05-12,8838
2018,10-18,10249
2018,08-25,9457
2018,04-07,9083
2018,12-03,9473
2018,07-08,6739
2018,12-27,11853
2018,01-03,7662
2018,12-15,13395
2018,06-17,6013
2018,08-27,7233
2018,04-12,7944
2018,06-19,6985
2018,05-01,7402
2018,03-16,10674
2018,02-14,8320
2018,11-14,10645
2018,05-08,6742
2018,12-16,10868
2018,01-10,6467
2018,04-29,7279
2018,07-15,6930
2018,12-22,13185
2018,11-17,13279
2018,01-09,6074
2018,12-23,10497
2018,04-05,8505
2018,01-21,5228
2018,01-25,6957
2018,09-01,10726
2018,12-13,12269
2018,01-18,6804
2018,02-04,5632
2018,10-27,12026
2018,11-26,9062
2018,12-09,10915
2018,06-07,8361
2018,01-17,6486
2018,07-19,8330
2018,09-19,8251
2018,08-01,9407
2018,09-04,7732
2018,02-11,6441
2018,06-24,7205
2018,10-13,11071
2018,06-29,11237
2018,10-31,10474
2018,09-06,9694
2018,04-23,6437
2018,05-26,7802
2018,08-04,9232
2018,07-04,5248
2018,08-26,7785
2018,05-20,6404
2018,02-18,6336
2018,05-06,7014
