UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R85217,^SUSHI JIN JING^,"1. < $10,000","$1,469",PA,15044,Northeast,2023-02-19T20:20:52Z,active,japanese,2021,27735,"20,201 - 50,000",259.1,101 - 500,"$128,111","$100,001 - $150,000",A
R82598,*COTTAGE EXPRESS*,"2. $10,000 to $29,999","$28,123",NC,28227,Southeast,2021-12-02T17:05:25Z,active,chinese,2019,57336,"50,001+",571.7,"501 - 5,000","$72,119","$60,000 - $100,000",B+
R86721,^ICHIMORA^,"1. < $10,000","$6,613",FL,33301,Southeast,2023-12-21T17:19:12Z,active,Chinese,2019,14988,"5,001 - 20,000",2327.3,"501 - 5,000","$115,161","$100,001 - $150,000",B
R86592,^SAKURA JAPAN^,"1. < $10,000","$6,262",NJ,7202,Northeast,2023-11-29T17:53:35Z,active,japanese,2020,41671,"20,201 - 50,000",6946.1,"5,001 - 20,000",NA,NA,C+
R83961,^WING EXPRESS^,"4. $50,000 - $99,999 ","$52,425",GA,30904,Southeast,2022-12-07T05:37:03Z,canceled,chinese,2019,25175,"20,201 - 50,000",938.7,"501 - 5,000","$41,189","$1 - $60,000",C-
R83589,*GOLDEN DRAGON*,"2. $10,000 to $29,999","$26,979",DE,19701,Northeast,2022-08-28T20:44:13Z,active,chinese,2019,40173,"20,201 - 50,000",583,"501 - 5,000","$103,104","$100,001 - $150,000",B
R85221,*PANDA*,"2. $10,000 to $29,999","$23,470",IL,62092,Midwest,2023-02-22T06:12:42Z,active,chinese,2019,2894,"1 - 5,000",17.9,1 - 100,"$47,348","$1 - $60,000",C
R86511,^CHEF KENNY'S ASIAN VEGAN CUISINE^,"1. < $10,000","$4,038",TX,77072,Southwest,2023-11-12T16:29:17Z,active,unknown,2019,61122,"50,001+",3213.4,"501 - 5,000","$50,886","$1 - $60,000",B
R83087,NEW CHINA,"2. $10,000 to $29,999","$14,097",LA,70806,Southeast,2022-05-09T19:01:17Z,active,chinese,2019,28588,"20,201 - 50,000",1243.6,"501 - 5,000","$52,393","$1 - $60,000",B-
R81573,CHINATOWN KITCHEN,"2. $10,000 to $29,999","$19,381",WI,54935,Midwest,2021-04-02T15:13:47Z,active,unknown,2019,42156,"20,201 - 50,000",1032.6,"501 - 5,000","$59,938","$1 - $60,000",B
