UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R83022,*PEKING CHINA*,"2. $10,000 to $29,999","$22,689",VA,22827,Southeast,2022-04-16T20:49:54Z,active,chinese,2019,10289,"5,001 - 20,000",29.1,1 - 100,"$60,691","$60,000 - $100,000",B+
R88629,CHINA MOON,"2. $10,000 to $29,999","$22,799",PA,19335,Northeast,2018-02-09T15:45:48Z,active,unknown,2019,48962,"20,201 - 50,000",444.9,101 - 500,"$130,634","$100,001 - $150,000",A
R88116,^HONG KONG KITCHEN^,"2. $10,000 to $29,999","$11,623",NY,10458,Northeast,2016-01-01T05:00:00Z,active,Chinese,2019,85620,"50,001+",32883.9,"20,001+","$41,550","$1 - $60,000",B+
R86198,GREAT CHINA,"1. < $10,000","$9,949",WI,53012,Midwest,2023-09-22T14:49:11Z,active,chinese,2019,18335,"5,001 - 20,000",202.2,101 - 500,"$94,079","$60,000 - $100,000",A
R87772,*^MIYAKO JP,,$0,NY,11801,Northeast,2023-08-30T23:38:45Z,canceled,Chinese,NA,40288,"20,201 - 50,000",2343.9,"501 - 5,000","$138,289","$100,001 - $150,000",NA
R88963,^CHENG'S ASIAN KITCHEN^,"2. $10,000 to $29,999","$29,993",VA,22603,Southeast,2019-06-19T20:36:30Z,active,unknown,2019,16030,"5,001 - 20,000",63.1,1 - 100,"$79,454","$60,000 - $100,000",B-
R86236,^CHARLIE'S SEAFOOD^,"4. $50,000 - $99,999 ","$68,062",LA,70501,Southeast,2023-10-01T19:16:13Z,active,unknown,2019,31631,"20,201 - 50,000",782.1,"501 - 5,000","$30,378","$1 - $60,000",C
R86381,^DRUMMING CRABS^,"1. < $10,000","$5,521",NY,12305,Northeast,2023-11-01T17:55:29Z,active,unknown,2021,5519,"5,001 - 20,000",1407.2,"501 - 5,000","$50,945","$1 - $60,000",C
R86603,GOLDEN CHINA,"3. $30,000 to $49,999","$31,753",NC,27542,Southeast,2023-12-01T17:53:57Z,active,chinese,2019,9288,"5,001 - 20,000",41.7,1 - 100,"$58,966","$1 - $60,000",B-
R82662,*HOT WOK*,"2. $10,000 to $29,999","$16,192",FL,32003,Southeast,2021-12-14T20:31:39Z,active,chinese,2019,28676,"20,201 - 50,000",699.1,"501 - 5,000","$117,414","$100,001 - $150,000",A+
R86999,*EAT RICE*,,$0,VA,23225,Southeast,2024-02-21T20:50:16Z,onboarding,chinese,2019,42937,"20,201 - 50,000",1159.7,"501 - 5,000","$61,021","$60,000 - $100,000",NA
R88575,*HOUSE OF CHINA*,,$0,FL,33762,Southeast,2017-08-30T15:54:54Z,canceled,unknown,NA,8355,"5,001 - 20,000",440.3,101 - 500,"$85,472","$60,000 - $100,000",NA
R83737,^CHINESE COUNTRY^,"2. $10,000 to $29,999","$15,831",NJ,8081,Northeast,2022-10-09T18:53:22Z,active,unknown,2019,50067,"50,001+",722.8,"501 - 5,000",NA,NA,B-
R85113,^CHINATOWN^,"3. $30,000 to $49,999","$32,940",MO,64133,Midwest,2023-01-21T04:55:47Z,active,chinese,2019,34958,"20,201 - 50,000",810.5,"501 - 5,000","$64,289","$60,000 - $100,000",C+
R86702,*GREAT WALL*,"2. $10,000 to $29,999","$17,877",PA,19135,Northeast,2023-12-17T18:48:01Z,suspended,chinese,2019,35427,"20,201 - 50,000",5888.1,"5,001 - 20,000","$50,000","$1 - $60,000",C-
R88815,HAPPY WOK,"3. $30,000 to $49,999","$35,673",IL,61108,Midwest,2018-12-17T21:00:07Z,canceled,unknown,2019,28205,"20,201 - 50,000",1023.6,"501 - 5,000","$59,783","$1 - $60,000",C
R85601,^DARUMA CHINESE & JAPANESE RESTAURANT^,"2. $10,000 to $29,999","$18,423",NY,10451,Northeast,2023-05-19T20:11:17Z,active,Chinese,2022,48136,"20,201 - 50,000",18060.2,"5,001 - 20,000","$34,316","$1 - $60,000",B+
R83168,ZHOU'S HOUSE,"2. $10,000 to $29,999","$23,344",PA,19057,Northeast,2022-06-13T21:13:34Z,active,chinese,2019,17449,"5,001 - 20,000",1526.8,"501 - 5,000","$92,468","$60,000 - $100,000",B-
R86056,^HAPPY KITCHEN^,"2. $10,000 to $29,999","$22,355",AL,36420,Southeast,2023-08-22T03:07:42Z,active,unknown,2019,10369,"5,001 - 20,000",15.1,1 - 100,"$47,935","$1 - $60,000",B
R85297,*^ER HOT POT^*,"1. < $10,000",$0,NY,10018,Northeast,2023-03-18T06:44:09Z,suspended,unknown,2022,8806,"5,001 - 20,000",10530.3,"5,001 - 20,000","$149,118","$100,001 - $150,000",B+
R81667,*^SUSHI Q^*,"1. < $10,000","$3,503",NY,10461,Northeast,2021-05-14T14:49:27Z,canceled,unknown,NA,49690,"20,201 - 50,000",8012.2,"5,001 - 20,000","$64,444","$60,000 - $100,000",B+
R83828,^MIZU^,"2. $10,000 to $29,999","$10,148",MS,39503,Southeast,2022-11-02T19:56:25Z,active,japanese,2019,55692,"50,001+",178.2,101 - 500,"$62,005","$60,000 - $100,000",B+
R82801,KING'S CHEF,"3. $30,000 to $49,999","$36,301",NY,13088,Northeast,2022-01-28T22:03:56Z,active,chinese,2019,21917,"20,201 - 50,000",1063.9,"501 - 5,000","$70,180","$60,000 - $100,000",A-
R83136,CHINA DRAGON,"2. $10,000 to $29,999","$23,155",FL,33626,Southeast,2022-06-03T22:29:39Z,active,chinese,2019,30743,"20,201 - 50,000",866.5,"501 - 5,000","$120,240","$100,001 - $150,000",A
R81388,*LUCKY BAMBOO HOUSE*,"2. $10,000 to $29,999","$27,985",MD,21133,Northeast,2021-01-13T23:38:22Z,suspended,unknown,2019,33299,"20,201 - 50,000",1263.8,"501 - 5,000","$83,305","$60,000 - $100,000",C
R81031,CHINA KING,"2. $10,000 to $29,999","$27,445",AL,36561,Southeast,2019-09-13T21:27:46Z,active,unknown,2019,6843,"5,001 - 20,000",163,101 - 500,"$90,778","$60,000 - $100,000",A-
R85696,NEW GREAT WALL,"2. $10,000 to $29,999","$13,871",OH,45432,Midwest,2023-06-13T20:40:23Z,active,chinese,2019,15106,"5,001 - 20,000",775.7,"501 - 5,000","$80,271","$60,000 - $100,000",B
R85906,^EDO HIBACHI^,"1. < $10,000","$8,486",SC,29223,Southeast,2023-08-01T23:06:28Z,active,japanese,2019,51054,"50,001+",773,"501 - 5,000","$52,603","$1 - $60,000",B+
R82983,*STAR ASIAN CAFE*,"1. < $10,000","$3,028",TX,77461,Southwest,2022-05-06T19:36:54Z,suspended,chinese,2019,11447,"5,001 - 20,000",29.9,1 - 100,"$69,766","$60,000 - $100,000",A-
R86865,*NEW CENTURY*,"1. < $10,000",$0,SC,29323,Southeast,2024-01-22T16:45:56Z,active,chinese,2019,13550,"5,001 - 20,000",74.4,1 - 100,"$57,878","$1 - $60,000",B+
R88806,GREAT WALL,"2. $10,000 to $29,999","$16,262",VA,23602,Southeast,2018-11-02T15:00:48Z,active,unknown,2019,38821,"20,201 - 50,000",1117.9,"501 - 5,000","$70,717","$60,000 - $100,000",B-
R88725,^MR.HIBACHI^,"2. $10,000 to $29,999","$19,814",FL,33462,Southeast,2018-08-18T14:40:39Z,active,unknown,2019,33241,"20,201 - 50,000",1479.9,"501 - 5,000","$67,916","$60,000 - $100,000",B-
R86863,*CHINA INN*,"2. $10,000 to $29,999","$15,156",VA,24352,Southeast,2024-01-22T16:23:27Z,active,chinese,2019,839,"1 - 5,000",11.3,1 - 100,"$45,422","$1 - $60,000",B-
R81066,*WAH CHUN*,"1. < $10,000",$289,CT,6513,Northeast,2019-10-12T23:33:59Z,canceled,unknown,2019,40037,"20,201 - 50,000",2135.4,"501 - 5,000",NA,NA,C-
R85282,CHOPSTICK EXPRESS,"2. $10,000 to $29,999","$12,635",IL,60631,Midwest,2023-03-12T11:10:45Z,suspended,chinese,2019,29529,"20,201 - 50,000",3063.6,"501 - 5,000","$112,974","$100,001 - $150,000",B-
R85292,^GOOD TASTE^,"1. < $10,000","$4,464",SC,29223,Southeast,2023-03-16T04:30:55Z,active,chinese,2023,51054,"50,001+",773,"501 - 5,000","$52,603","$1 - $60,000",B+
R86139,CHINA MOON,"3. $30,000 to $49,999","$40,920",VA,23434,Southeast,2023-09-05T22:00:52Z,active,chinese,2019,49625,"20,201 - 50,000",94.3,1 - 100,"$73,843","$60,000 - $100,000",C+
R81668,*KIN'S WOK*,"4. $50,000 - $99,999 ","$52,584",VA,23517,Southeast,2021-05-12T16:47:34Z,active,unknown,2019,4543,"1 - 5,000",2197.3,"501 - 5,000","$55,536","$1 - $60,000",B-
R85169,*TOP CHINA*,"3. $30,000 to $49,999","$30,950",FL,33610,Southeast,2023-02-04T05:27:45Z,active,chinese,2019,46799,"20,201 - 50,000",1012.1,"501 - 5,000","$47,591","$1 - $60,000",A-
R85617,HOUSE OF CHINA,"2. $10,000 to $29,999","$22,720",NY,14213,Northeast,2023-05-23T02:42:34Z,active,chinese,2019,23113,"20,201 - 50,000",3949.6,"501 - 5,000","$47,558","$1 - $60,000",C
R88123,FOOD BO GARDEN,"2. $10,000 to $29,999","$21,227",NY,10459,Northeast,2016-01-01T05:00:00Z,active,unknown,2019,48780,"20,201 - 50,000",22962.7,"20,001+","$41,270","$1 - $60,000",B+
R86815,*^WACKY MONGOLIAN GRILL^*,"1. < $10,000",$0,TX,77379,Southwest,2024-01-12T19:43:20Z,active,unknown,2019,81368,"50,001+",1234,"501 - 5,000","$110,361","$100,001 - $150,000",A
R82091,NEW PEKING,"4. $50,000 - $99,999 ","$59,149",NY,12078,Northeast,2021-10-03T15:34:41Z,suspended,chinese,NA,23419,"20,201 - 50,000",83.4,1 - 100,"$51,756","$1 - $60,000",C
R83538,CHINA KING,"2. $10,000 to $29,999","$11,083",NJ,8021,Northeast,2022-08-16T22:37:18Z,active,chinese,2019,44369,"20,201 - 50,000",1320.8,"501 - 5,000",NA,NA,C+
R85189,*CHINA A GO GO RANCHO*,"1. < $10,000","$2,976",NV,89106,West,2023-02-18T14:38:44Z,active,chinese,NA,26480,"20,201 - 50,000",1931.6,"501 - 5,000","$36,403","$1 - $60,000",B-
R86267,GREAT WOK,"2. $10,000 to $29,999","$11,660",FL,34744,Southeast,2023-10-08T20:06:21Z,active,unknown,2021,57134,"50,001+",664.7,"501 - 5,000","$63,320","$60,000 - $100,000",B-
R85128,*NEW WIN WAY*,,$0,NY,11235,Northeast,2023-01-25T23:15:25Z,onboarding,chinese,2019,78775,"50,001+",13552.3,"5,001 - 20,000","$61,320","$60,000 - $100,000",NA
R81702,^ASIAN BISTRO^,"3. $30,000 to $49,999","$45,978",MD,21237,Northeast,2021-06-13T17:49:07Z,active,unknown,2019,30129,"20,201 - 50,000",1011,"501 - 5,000","$84,118","$60,000 - $100,000",C
R85717,^LUCKY STAR^,"1. < $10,000","$2,997",NY,10302,Northeast,2023-06-20T16:20:27Z,active,chinese,2023,18037,"5,001 - 20,000",5857.8,"5,001 - 20,000","$75,588","$60,000 - $100,000",B+
R81153,HUNG WAH,"2. $10,000 to $29,999","$15,078",FL,33634,Southeast,2020-01-22T22:35:31Z,canceled,unknown,NA,22719,"20,201 - 50,000",1069.3,"501 - 5,000","$64,830","$60,000 - $100,000",A-
R81082,KING TASTE,"2. $10,000 to $29,999","$16,282",NJ,7050,Northeast,2019-11-07T20:12:05Z,canceled,unknown,2019,30302,"20,201 - 50,000",5326.7,"5,001 - 20,000",NA,NA,C-
R85923,^LUCKY DRAGON^,"2. $10,000 to $29,999","$25,367",MA,1904,Northeast,2023-08-04T14:33:02Z,active,chinese,2019,17294,"5,001 - 20,000",1476.3,"501 - 5,000",NA,NA,C+
R85172,CHOPSTICKS,"4. $50,000 - $99,999 ","$54,798",NY,12804,Northeast,2023-02-04T21:31:42Z,active,chinese,2019,26187,"20,201 - 50,000",190.5,101 - 500,"$87,589","$60,000 - $100,000",A-
R82932,^JJ DYNASTY^,"1. < $10,000","$2,563",NY,11769,Northeast,2022-03-22T15:29:34Z,canceled,Chinese,NA,8340,"5,001 - 20,000",760,"501 - 5,000","$122,909","$100,001 - $150,000",A
R81171,*CHINA DRAGON*,"2. $10,000 to $29,999","$28,815",AL,36542,Southeast,2020-02-26T17:58:10Z,active,unknown,2019,14045,"5,001 - 20,000",103.2,101 - 500,"$63,305","$60,000 - $100,000",A-
R83691,*CHINA WOK*,"2. $10,000 to $29,999","$19,638",SC,29115,Southeast,2022-10-07T18:53:24Z,active,unknown,2019,27794,"20,201 - 50,000",82.2,1 - 100,"$31,473","$1 - $60,000",C-
R85612,^NEW FAR EAST^,"2. $10,000 to $29,999","$21,786",FL,33619,Southeast,2023-05-22T23:33:21Z,active,chinese,NA,40092,"20,201 - 50,000",582.8,"501 - 5,000","$55,610","$1 - $60,000",A-
R85558,^BELLMEAD CHOPSTIXS^,"2. $10,000 to $29,999","$25,140",TX,76705,Southwest,2023-05-02T08:45:55Z,active,chinese,NA,31734,"20,201 - 50,000",107.2,101 - 500,"$51,546","$1 - $60,000",C+
R88705,CHINA HOUSE,"4. $50,000 - $99,999 ","$50,383",PA,19078,Northeast,2018-07-25T14:40:39Z,active,unknown,2019,11562,"5,001 - 20,000",2207.9,"501 - 5,000","$90,890","$60,000 - $100,000",B-
R82629,EMPIRE RESTAURANT,"2. $10,000 to $29,999","$15,513",SC,29477,Southeast,2021-12-09T22:23:52Z,active,chinese,2019,6847,"5,001 - 20,000",23.9,1 - 100,"$53,391","$1 - $60,000",B
R88596,*PANDA HOUSE*,"2. $10,000 to $29,999","$24,808",NJ,7083,Northeast,2017-11-15T15:45:48Z,active,unknown,2019,55162,"50,001+",2460.7,"501 - 5,000",NA,NA,B
R85655,^GREAT CHINA^,"3. $30,000 to $49,999","$41,945",NC,27617,Southeast,2023-06-01T03:41:02Z,active,chinese,2019,20281,"20,201 - 50,000",935.9,"501 - 5,000","$102,207","$100,001 - $150,000",A+
R86251,*^OCHA RESTAURANT^*,,$0,CT,6901,Northeast,2023-10-04T15:09:03Z,canceled,unknown,2019,7186,"5,001 - 20,000",5964.8,"5,001 - 20,000",NA,NA,NA
R85018,^FIERY CRAB KENNER^,"3. $30,000 to $49,999","$38,082",LA,70065,Southeast,2023-01-06T11:09:30Z,active,unknown,NA,50752,"50,001+",2436.4,"501 - 5,000","$63,379","$60,000 - $100,000",C
R86303,GOLDEN DRAGON,"2. $10,000 to $29,999","$21,604",NY,10522,Northeast,2023-10-16T23:06:11Z,active,chinese,2019,11070,"5,001 - 20,000",1759.5,"501 - 5,000","$144,000","$100,001 - $150,000",A+
R88302,*RED HOUSE*,"2. $10,000 to $29,999","$26,910",OH,45405,Midwest,2016-06-23T16:01:02Z,active,unknown,2019,16793,"5,001 - 20,000",1647.8,"501 - 5,000","$39,919","$1 - $60,000",D+
R83873,*HUNAN HOUSE*,"1. < $10,000","$9,470",NJ,7306,Northeast,2022-11-13T21:36:18Z,active,chinese,2019,52093,"50,001+",7387.6,"5,001 - 20,000",NA,NA,C+
R81756,*NEW FORTUNE HOUSE*,"2. $10,000 to $29,999","$25,319",NY,11729,Northeast,2021-07-09T19:39:03Z,active,unknown,2019,27252,"20,201 - 50,000",1679.4,"501 - 5,000","$124,704","$100,001 - $150,000",A
R83687,PARK AVE CHINESE RESTAURANT,"3. $30,000 to $49,999","$47,555",VA,23504,Southeast,2022-09-24T18:28:51Z,active,chinese,2022,23330,"20,201 - 50,000",2190.1,"501 - 5,000","$39,611","$1 - $60,000",C
R85293,CHINA CHEF,"3. $30,000 to $49,999","$35,757",NC,27127,Southeast,2023-03-17T06:26:20Z,active,chinese,2019,40511,"20,201 - 50,000",525.6,"501 - 5,000","$60,235","$60,000 - $100,000",B
R82556,UNCLE CHEN HOT WOK,"3. $30,000 to $49,999","$34,176",IN,46307,Midwest,2021-11-14T23:20:25Z,active,chinese,2019,62779,"50,001+",276.7,101 - 500,"$98,580","$60,000 - $100,000",A
R86851,*King's Wok III*,"3. $30,000 to $49,999","$46,153",FL,32750,Southeast,2024-01-17T23:51:45Z,active,chinese,2019,25025,"20,201 - 50,000",936.7,"501 - 5,000","$81,799","$60,000 - $100,000",A-
R88397,HAPPY GARDEN,"2. $10,000 to $29,999","$26,766",NY,10474,Northeast,2017-02-15T21:14:25Z,canceled,unknown,NA,12179,"5,001 - 20,000",3074.5,"501 - 5,000","$40,795","$1 - $60,000",B+
R82518,CHINA HOUSE,"2. $10,000 to $29,999","$24,463",PA,18103,Northeast,2021-11-09T18:06:50Z,active,chinese,2019,46393,"20,201 - 50,000",1017.1,"501 - 5,000","$70,069","$60,000 - $100,000",C+
R83239,TASTY EXPRESS,"2. $10,000 to $29,999","$15,296",IN,47201,Midwest,2022-07-12T18:34:41Z,canceled,chinese,2019,44831,"20,201 - 50,000",84.7,1 - 100,"$79,582","$60,000 - $100,000",A-
R88871,NEW RAINBOW,"2. $10,000 to $29,999","$17,356",NC,27526,Southeast,2019-02-21T23:58:05Z,canceled,unknown,2019,48581,"20,201 - 50,000",193.5,101 - 500,"$90,325","$60,000 - $100,000",B+
R86577,*LION KING*,"1. < $10,000",$0,NY,10710,Northeast,2023-11-25T19:52:53Z,suspended,chinese,2019,25262,"20,201 - 50,000",2129.5,"501 - 5,000","$97,941","$60,000 - $100,000",B-
R88719,*NEW CANTON*,"2. $10,000 to $29,999","$16,679",MD,21619,Northeast,2018-08-11T14:40:39Z,active,unknown,2019,5964,"5,001 - 20,000",248.4,101 - 500,"$94,815","$60,000 - $100,000",A-
R86612,YEN CHING,"2. $10,000 to $29,999","$19,798",IL,60565,Midwest,2023-12-04T16:59:44Z,active,chinese,2019,40560,"20,201 - 50,000",1261.3,"501 - 5,000","$155,179","$150,001 - $250,000",A+
R83062,^GOLDEN TAIPEI^,"2. $10,000 to $29,999","$17,130",NC,28269,Southeast,2022-05-01T19:12:10Z,active,Chinese,2019,77248,"50,001+",978.5,"501 - 5,000","$76,560","$60,000 - $100,000",B
R88299,CHINA KING,"3. $30,000 to $49,999","$39,385",NJ,8861,Northeast,2016-06-06T19:30:31Z,active,unknown,2019,53538,"50,001+",4018.6,"501 - 5,000",NA,NA,C
R82713,CHINA EXPRESS,"2. $10,000 to $29,999","$13,863",PA,15401,Northeast,2021-12-30T20:46:39Z,active,chinese,2019,31031,"20,201 - 50,000",205.5,101 - 500,"$51,611","$1 - $60,000",C
R83037,*HONG KONG*,"2. $10,000 to $29,999","$12,436",WV,24740,Southeast,2022-04-25T16:04:58Z,canceled,chinese,2019,30073,"20,201 - 50,000",72.4,1 - 100,"$41,911","$1 - $60,000",B-
R81815,^RED HOUSE^,"1. < $10,000","$7,701",PA,19038,Northeast,2021-08-04T18:53:39Z,active,unknown,2022,31415,"20,201 - 50,000",1534.6,"501 - 5,000","$113,628","$100,001 - $150,000",A
R83693,*HUNAN*,"2. $10,000 to $29,999","$11,233",MI,49254,Midwest,2022-09-28T00:51:39Z,active,chinese,2019,3069,"1 - 5,000",365.2,101 - 500,"$71,375","$60,000 - $100,000",C+
R83769,*HUNAN*,"2. $10,000 to $29,999","$19,266",MI,49686,Midwest,2022-10-16T23:58:14Z,active,unknown,2019,33459,"20,201 - 50,000",107.4,101 - 500,"$67,279","$60,000 - $100,000",A-
R82816,CHINA DRAGON,"2. $10,000 to $29,999","$27,429",KY,40258,Southeast,2022-02-06T20:51:48Z,active,unknown,2019,26682,"20,201 - 50,000",881.5,"501 - 5,000","$62,948","$60,000 - $100,000",C+
R85576,^KING WOK^,"2. $10,000 to $29,999","$11,110",MI,48204,Midwest,2023-05-08T20:00:21Z,active,unknown,2019,23927,"20,201 - 50,000",1843.3,"501 - 5,000","$29,224","$1 - $60,000",D+
R88972,CHINA HOUSE PLUS,"3. $30,000 to $49,999","$34,425",NJ,7026,Northeast,2019-07-11T15:31:08Z,active,unknown,2019,31695,"20,201 - 50,000",5592.7,"5,001 - 20,000",NA,NA,C+
R82203,^CHINESE DELIGHT^,"2. $10,000 to $29,999","$14,075",FL,33054,Southeast,2021-10-01T00:21:57Z,active,chinese,NA,31797,"20,201 - 50,000",1400.1,"501 - 5,000","$38,952","$1 - $60,000",B+
R88557,HUNAN PAN,"2. $10,000 to $29,999","$29,472",CT,6484,Northeast,2017-07-10T17:59:49Z,canceled,unknown,2019,41141,"20,201 - 50,000",518.6,"501 - 5,000",NA,NA,B+
R88785,NEW TIEN LUNG,"2. $10,000 to $29,999","$13,538",NY,10466,Northeast,2019-08-07T19:08:59Z,canceled,unknown,NA,75039,"50,001+",14388.5,"5,001 - 20,000","$60,892","$60,000 - $100,000",B+
R81163,YUMMY,"2. $10,000 to $29,999","$21,105",WI,54935,Midwest,2020-01-23T21:39:49Z,active,unknown,2019,42156,"20,201 - 50,000",1032.6,"501 - 5,000","$59,938","$1 - $60,000",B
R88298,EVERGREEN,"4. $50,000 - $99,999 ","$51,127",NY,14901,Northeast,2016-06-07T21:01:05Z,canceled,unknown,NA,15855,"5,001 - 20,000",163.7,101 - 500,"$38,604","$1 - $60,000",C
R85315,^TASTE OF ASIA^,"2. $10,000 to $29,999","$20,260",VA,22304,Southeast,2023-03-23T06:53:44Z,active,Chinese,2019,48510,"20,201 - 50,000",4040.8,"501 - 5,000","$98,238","$60,000 - $100,000",B
R86579,DRAGON PHOENIX,"2. $10,000 to $29,999","$20,339",FL,33708,Southeast,2023-11-27T15:46:53Z,active,chinese,2019,16083,"5,001 - 20,000",1818.6,"501 - 5,000","$76,684","$60,000 - $100,000",B
R81666,^MULAN JAPANESE^,"1. < $10,000","$7,899",SC,29577,Southeast,2021-05-11T20:35:17Z,active,unknown,2019,32296,"20,201 - 50,000",529.8,"501 - 5,000","$47,107","$1 - $60,000",A-
R86393,*NO.1 CHINA*,"2. $10,000 to $29,999","$17,426",MI,48001,Midwest,2023-11-08T21:58:36Z,active,chinese,2019,11903,"5,001 - 20,000",241.5,101 - 500,"$63,272","$60,000 - $100,000",C-
R86093,CHINA KING,"3. $30,000 to $49,999","$34,157",NY,14450,Northeast,2023-08-30T01:16:50Z,active,chinese,2019,41546,"20,201 - 50,000",504.4,"501 - 5,000","$104,187","$100,001 - $150,000",A
R86179,MONTCLAIR CHINESE CUISINE,"2. $10,000 to $29,999","$13,925",VA,22025,Southeast,2023-09-17T19:07:16Z,active,chinese,2019,18909,"5,001 - 20,000",1071.4,"501 - 5,000","$134,456","$100,001 - $150,000",B+
R86299,DRAGON KING 11509,"2. $10,000 to $29,999","$20,526",NY,11694,Northeast,2023-10-16T19:39:53Z,active,chinese,2022,21202,"20,201 - 50,000",6126.2,"5,001 - 20,000","$100,190","$100,001 - $150,000",B+
R83588,JADE LAKE GOURMET,"1. < $10,000","$8,066",NJ,7041,Northeast,2022-08-28T20:34:44Z,suspended,chinese,2019,6770,"5,001 - 20,000",1966.4,"501 - 5,000",NA,NA,A+
R85882,^CHINA STAR^,"2. $10,000 to $29,999","$18,514",MA,1913,Northeast,2023-07-28T16:03:18Z,suspended,chinese,2019,17434,"5,001 - 20,000",547.6,"501 - 5,000",NA,NA,B+
R85587,CHINA HOUSE,"1. < $10,000","$7,586",PA,17601,Northeast,2023-05-13T19:13:27Z,suspended,chinese,2019,52552,"50,001+",609,"501 - 5,000","$93,194","$60,000 - $100,000",A
R86336,NEW GREAT WALL,"1. < $10,000","$8,056",WI,54656,Midwest,2023-10-22T23:23:30Z,active,chinese,2019,17670,"5,001 - 20,000",27.3,1 - 100,"$66,048","$60,000 - $100,000",C+
R81637,KAM FUNG,"2. $10,000 to $29,999","$21,595",NY,11234,Northeast,2021-05-02T20:18:39Z,canceled,unknown,2019,93534,"50,001+",4873.7,"501 - 5,000","$91,379","$60,000 - $100,000",B+
R88392,WOK'N ROLL,"2. $10,000 to $29,999","$17,459",FL,33442,Southeast,2017-02-13T04:04:29Z,canceled,unknown,NA,28964,"20,201 - 50,000",1674.2,"501 - 5,000","$51,778","$1 - $60,000",B
R82332,KING'S CHINESE CARRY OUT,"2. $10,000 to $29,999","$11,415",MD,21009,Northeast,2021-10-20T21:08:35Z,active,chinese,NA,29905,"20,201 - 50,000",1018.1,"501 - 5,000","$108,703","$100,001 - $150,000",B+
R86291,NEW CHINA KITCHEN,"2. $10,000 to $29,999","$10,291",NJ,7201,Northeast,2023-10-13T18:30:17Z,active,chinese,2019,28091,"20,201 - 50,000",1635.7,"501 - 5,000",NA,NA,C+
R85219,^MING GARDEN^,"3. $30,000 to $49,999","$33,822",FL,33602,Southeast,2023-02-22T06:45:46Z,active,unknown,2019,15586,"5,001 - 20,000",2361.2,"501 - 5,000","$88,878","$60,000 - $100,000",A-
R83508,*JOYFUL*,"2. $10,000 to $29,999","$21,631",FL,33810,Southeast,2022-08-10T21:15:51Z,active,chinese,2022,51139,"50,001+",352.2,101 - 500,"$66,045","$60,000 - $100,000",B-
R82323,*LIN CUISINE*,"1. < $10,000",$0,OK,74079,Southwest,2021-10-18T21:30:52Z,canceled,chinese,2019,4268,"1 - 5,000",9.4,1 - 100,"$61,344","$60,000 - $100,000",B
R82755,CHINA 1,"2. $10,000 to $29,999","$12,051",IA,52655,Midwest,2022-01-12T16:54:17Z,canceled,chinese,NA,4163,"1 - 5,000",98.2,1 - 100,"$51,927","$1 - $60,000",C
R86339,EASTERN,"3. $30,000 to $49,999","$39,331",NY,11428,Northeast,2023-10-24T19:19:25Z,active,chinese,2019,18836,"5,001 - 20,000",8745.4,"5,001 - 20,000","$89,593","$60,000 - $100,000",B+
R85338,^SAIGON GRILL^,"1. < $10,000","$4,468",CO,80909,West,2023-04-04T04:56:46Z,active,unknown,2019,38382,"20,201 - 50,000",1769,"501 - 5,000","$56,665","$1 - $60,000",B-
R81905,^MING HING HIBACHI^,"2. $10,000 to $29,999","$10,397",NC,27932,Southeast,2021-08-18T22:39:07Z,active,chinese,2020,12129,"5,001 - 20,000",39.6,1 - 100,"$49,814","$1 - $60,000",B-
R82885,SIZZLING WOK,"1. < $10,000","$3,831",CT,6385,Northeast,2022-03-01T17:01:35Z,suspended,chinese,2019,15310,"5,001 - 20,000",237,101 - 500,NA,NA,A-
R88782,LAM'S GARDEN,"2. $10,000 to $29,999","$20,806",NC,27893,Southeast,2018-10-25T15:07:12Z,active,unknown,2019,39531,"20,201 - 50,000",138.6,101 - 500,"$37,737","$1 - $60,000",B-
R81511,*JIN JIN GARDEN*,"2. $10,000 to $29,999","$10,870",KS,66441,Midwest,2021-02-05T15:43:23Z,active,chinese,2019,25372,"20,201 - 50,000",41,1 - 100,"$59,270","$1 - $60,000",B+
R81009,CHINA KING,"2. $10,000 to $29,999","$24,197",NY,10029,Northeast,2019-08-23T19:33:56Z,active,unknown,2023,76713,"50,001+",36488.9,"20,001+","$35,640","$1 - $60,000",B+
R85877,NO.1,"3. $30,000 to $49,999","$31,883",NJ,8015,Northeast,2023-07-28T02:32:38Z,active,chinese,2020,19622,"5,001 - 20,000",158.2,101 - 500,NA,NA,B-
R85187,CHINA RESTAURANT,"2. $10,000 to $29,999","$16,947",NM,88030,Southwest,2023-02-11T04:53:24Z,active,chinese,2019,22882,"20,201 - 50,000",3.4,1 - 100,"$40,075","$1 - $60,000",C+
R81276,NEW STAR,"2. $10,000 to $29,999","$13,045",NY,11223,Northeast,2020-08-28T21:54:07Z,canceled,unknown,2022,81388,"50,001+",15153.9,"5,001 - 20,000","$61,356","$60,000 - $100,000",B+
R85988,NEW YUNG HONG,"3. $30,000 to $49,999","$30,071",NY,10463,Northeast,2023-08-14T19:46:43Z,active,chinese,2021,71132,"50,001+",18939,"5,001 - 20,000","$66,780","$60,000 - $100,000",B+
