,,Total ARR,,,,,,,,,,,,,,,,,,Voice ARR,,,,,,,,,,,,,,,WP ARR,,,,,,,,,,,,,,,DE ARR,,,,,,,,,,,,,,,H/W Rental ARR,,,,,,,,,,,,,,,Comments,,,,
UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,Q/Q,Q/Q %,Status,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,,Q1'24,Q2'24,R81001,R81001
R81073,FT,"14,089","17,172","16,075","13,675","13,648","14,275","14,841","15,273","12,611","13,620","12,476","11,350","10,019","9,304","-2,457",-20%,-12%,,"14,089","14,474","13,535","11,213","10,404","11,605","12,102","11,924","9,782","10,735","9,969","8,966","8,207","7,492",,0,"2,698","2,540","2,462","3,244","2,670","2,739","3,349","2,829","2,885","2,507","2,384","1,812","1,812",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81081,R81081
R81075,FT,"15,928","8,600","7,101","8,780","10,225","8,732","7,667","10,141","17,040","10,186","9,344","10,273","8,831","8,425",-513,-5%,-14%,,"15,636","8,398","6,891","8,713","10,095","8,732","7,667","10,141","16,313","9,546","8,802","9,753","8,437","8,053",,292,202,210,67,130,0,0,0,515,514,390,389,276,276,,0,0,0,0,0,0,0,0,212,126,152,132,118,96,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81082,R81082
R81076,FT,"32,517","36,138","32,645","32,578","30,163","33,872","33,679","32,036","32,493","28,756","30,550","32,628","30,488","30,862",-62,0%,-7%,,"32,517","36,138","32,645","32,578","30,163","33,752","33,679","32,036","32,493","28,756","30,550","32,628","30,488","30,862",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,,R81086,R81086
R81081,FT,"29,980","21,714","20,715","27,625","33,315","20,521","22,131","19,549","21,272","15,570","18,303","18,308","17,903","17,322",-400,-2%,-2%,,"29,980","21,714","20,715","27,625","33,315","20,521","22,131","19,549","21,272","15,570","18,303","18,308","17,903","17,322",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81087,R81087
R81082,FT,"14,505","16,382","13,985","14,218","12,012","13,903",0,0,0,0,0,0,0,0,0,,,,"14,505","16,382","13,985","14,218","12,012","13,903",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81088,R81088
R81086,PT,"15,047","13,286","13,772","13,763","14,260","11,577","12,861","14,392","12,742",0,0,0,0,0,0,,,,"15,047","13,286","13,772","13,763","14,260","11,577","12,861","14,392","12,742",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81091,R81091
R81087,PT,"37,310","38,386","39,254","39,198","34,729","39,137","44,951","38,558","17,601","15,908","17,900","17,237","20,114","19,749","2,214",12%,17%,,"37,310","38,386","39,254","39,198","34,729","39,137","44,951","38,558","17,601","15,908","17,900","17,237","20,114","19,749",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81095,R81095
R81088,FT,"33,116","33,119","35,816","33,674","39,542","36,265","41,668","36,444","38,374","41,032","45,599","50,530","44,106","45,784","-1,493",-3%,-13%,,"33,116","33,119","33,892","29,699","26,825","26,786","29,697","25,192","26,769","28,177","32,258","36,223","31,081","32,759",,0,0,"1,924","3,975","12,717","9,479","11,971","11,252","11,605","12,855","13,341","14,307","13,025","13,025",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81096,R81096
R81091,FT,"12,148","11,636","11,579","13,231","13,602","12,780","13,074","12,867","13,324","13,294",0,0,"5,367","11,398","5,367",,Aug'24 Reactivate,,"12,148","11,636","11,579","13,231","13,602","12,780","13,074","12,867","13,324","13,294",0,0,"5,367","11,398",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81098,R81098
R81095,FT,"42,091","57,561","62,856","58,610","48,994","61,472","59,806","64,661","58,284","66,145","57,232","56,352","57,552","57,732",320,1%,,,"42,091","50,071","54,270","50,288","39,872","52,146","49,992","53,897","48,650","54,162","51,323","51,274","51,752","51,932",,0,"7,490","8,586","8,322","9,122","9,326","9,814","10,764","9,634","11,983","5,909","5,078","5,800","5,800",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81099,R81099
