zip_code,total_pop,white_alone,black_alone,asian_alone,chinese_persons,chinese_speakers_total,pct_white,pct_black,pct_asian,pct_chinese
00769,33953,6241,2769,0,0,0,0.18381291785703768,0.0815539127617589,0.0,0.0
00771,35165,2808,5873,29,0,0,0.07985212569316082,0.16701265462818143,0.0008246836342954642,0.0
00772,16961,1210,6801,19,0,0,0.07134013324686045,0.40097871587760153,0.001120216968339131,0.0
00773,17631,3507,1131,48,0,0,0.19891100901820657,0.06414837502126935,0.00272247745448358,0.0
00775,1281,326,22,11,11,0,0.2544886807181889,0.01717408274785324,0.00858704137392662,0.00858704137392662
00777,37243,13338,5802,28,0,0,0.35813441452084954,0.15578766479606906,0.0007518191337969551,0.0
00778,40391,13951,4195,72,33,0,0.345398727439281,0.10385977074100666,0.0017825753261865268,0.0008170136911688248
00780,13612,3743,1015,0,0,0,0.27497796062297974,0.07456655891860123,0.0,0.0
00782,18397,6019,1786,0,0,0,0.32717290862640647,0.09708104582268848,0.0,0.0
00783,34266,10787,2553,26,0,0,0.3148018443938598,0.07450534057082822,0.0007587696258682076,0.0
00784,35405,17211,3421,0,0,0,0.4861177799745799,0.09662477051263946,0.0,0.0
00786,135,55,61,0,0,0,0.4074074074074074,0.45185185185185184,0.0,0.0
00791,45912,6865,2579,234,216,0,0.149525178602544,0.05617267816692804,0.005096706743335076,0.004704652378463147
00794,28450,11714,1912,0,0,0,0.41173989455184534,0.06720562390158172,0.0,0.0
00795,43212,6493,1962,1,1,0,0.15025918726279738,0.045404054429325186,2.314171989262242e-05,2.314171989262242e-05
00901,6762,2752,473,1,1,0,0.4069801833776989,0.069949719018042,0.0001478852410529429,0.0001478852410529429
00906,46,46,0,0,0,0,1.0,0.0,0.0,0.0
00907,15911,6041,1457,175,175,0,0.3796744390673119,0.09157186851863491,0.010998680158380994,0.010998680158380994
00909,5466,1669,662,15,0,0,0.30534211489206003,0.12111233077204538,0.0027442371020856204,0.0
00911,7430,2705,366,329,209,0,0.36406460296096904,0.04925975773889637,0.04427994616419919,0.02812920592193809
00912,6219,1186,592,7,0,0,0.19070590127030068,0.0951921530792732,0.0011255828911400547,0.0
00913,6700,1303,236,76,76,0,0.1944776119402985,0.03522388059701492,0.011343283582089553,0.011343283582089553
00915,24484,2536,2635,21,0,0,0.10357784675706584,0.10762130370854435,0.0008577029897075642,0.0
00917,18216,4785,1130,9,0,0,0.26268115942028986,0.06203337725076855,0.0004940711462450593,0.0
00918,16379,3979,680,47,0,0,0.24293302399413882,0.041516576103547226,0.002869528054215764,0.0
00920,16403,6258,2819,0,0,0,0.38151557641894773,0.17185880631591782,0.0,0.0
00921,34197,11588,5339,13,0,0,0.3388601339298769,0.1561248062695558,0.000380150305582361,0.0
00923,24826,5137,2595,43,43,0,0.2069201643438331,0.10452751147990011,0.0017320551035205026,0.0017320551035205026
00924,47800,18112,8171,14,0,0,0.37891213389121337,0.17094142259414227,0.00029288702928870295,0.0
00925,4777,1504,516,45,28,0,0.31484195101528156,0.10801758425790245,0.009420138162026376,0.005861419300816412
